Sequence_ID	Name	Sequence_source	Lichen_species	Source_metagenome	Role	Primary_photobiont_of_the_lichen	clade
AY328523.1	AY328523.1 Coccomyxa subellipsoidea strain SAG 216 13 from Lichenomphalia umbellifera	Literature	Lichenomphalia umbellifera	NA	photobiont	Coccomyxa	C. subellipsoidea clade
AY293947.1	AY293947.1 Coccomyxa sp C16 from Lichenomphalia hudsoniana	Literature	Lichenomphalia hudsoniana	NA	photobiont	Coccomyxa	C. subellipsoidea clade
SRR11456921_NODE_117642_length_878_cov_2.376671	SRR11456921_NODE_117642_length_878_cov_2.376671 Coccomyxa from Peltigera evansiana metagenome from Peltigera evansiana	Lichen metagenome	Peltigera evansiana	SRR11456921	photobiont	Coccomyxa	C. subellipsoidea clade
AY293945.1	AY293945.1 Coccomyxa sp C19 from Lichenomphalia umbellifera	Literature	Lichenomphalia umbellifera	NA	photobiont	Coccomyxa	C. subellipsoidea clade
AY293933.1	AY293933.1 Coccomyxa sp C18 from Lichenomphalia hudsoniana	Literature	Lichenomphalia hudsoniana	NA	photobiont	Coccomyxa	C. subellipsoidea clade
SRR13685159_NODE_1352_length_12292_cov_16.590177	SRR13685159_NODE_1352_length_12292_cov_16.590177 Coccomyxa from Icmadophila ericetorum metagenome from Icmadophila ericetorum	Lichen metagenome	Icmadophila ericetorum	SRR13685159	photobiont	Coccomyxa	C. subellipsoidea clade
AY293932.1	AY293932.1 Coccomyxa sp C12 from Lichenomphalia umbellifera	Literature	Lichenomphalia umbellifera	NA	photobiont	Coccomyxa	C. subellipsoidea clade
SRR11456917_NODE_168307_length_406_cov_1.168091	SRR11456917_NODE_168307_length_406_cov_1.168091 Coccomyxa from Peltigera phyllidiosa metagenome from Peltigera phyllidiosa	Lichen metagenome	Peltigera phyllidiosa	SRR11456917	photobiont	Coccomyxa	C. subellipsoidea clade
AY293948.1	AY293948.1 Coccomyxa sp C14 from Lichenomphalia hudsoniana	Literature	Lichenomphalia hudsoniana	NA	photobiont	Coccomyxa	C. subellipsoidea clade
AY293946.1	AY293946.1 Coccomyxa sp C20 from Lichenomphalia grisella	Literature	Lichenomphalia grisella	NA	photobiont	Coccomyxa	C. subellipsoidea clade
KX185526.1	KX185526.1 Coccomyxa sp GM15A_305 from Lichenomphalia oreades	Literature	Lichenomphalia oreades	NA	photobiont	Coccomyxa	C. subellipsoidea clade
KX185525.1	KX185525.1 Coccomyxa sp 15_10_25 from Lichenomphalia oreades	Literature	Lichenomphalia oreades	NA	photobiont	Coccomyxa	C. subellipsoidea clade
SRR11456919_NODE_7569_length_4933_cov_238.826773	SRR11456919_NODE_7569_length_4933_cov_238.826773 Coccomyxa from Solorina crocea metagenome from Solorina crocea	Lichen metagenome	Solorina crocea	SRR11456919	photobiont	Coccomyxa	C. subellipsoidea clade
KY402198.1	KY402198.1 Coccomyxa sp YN	Literature	Cladonia yunnan	NA	non-photobiont-lichen	Trebouxia	C. subellipsoidea clade
MH753231.1	MH753231.1 Coccomyxa solorinae isolate P245 from Peltigera leucophlebia	Literature	Peltigera leucophlebia	NA	photobiont	Coccomyxa	C. simplex/C. solorinae clade
